"","Contract.Number","Plan.Benefit.Package","Contract.Name","Plan.Type","Average.Part.C.Risk.Score","Average.A.B.PM.PM.Payment","Average.Rebate.PM.PM.Payment","date","payment","rebate","Plan.ID","contract_plan"
"38","H0332",3,"KS PLAN ADMINISTRATORS, LLC","HMO",1.07,"$742.53 ","$176.75 ",2016-06-30,742.53,176.75,3,"H0332_3"
"39","H0332",4,"KS PLAN ADMINISTRATORS, LLC","HMO",0.969,"$740.50 ","$171.47 ",2016-06-30,740.5,171.47,4,"H0332_4"
"40","H0332",806,"KS PLAN ADMINISTRATORS, LLC","HMO",0.958,"$798.36 ","$121.78 ",2016-06-30,798.36,121.78,806,"H0332_806"
"41","H0332",807,"KS PLAN ADMINISTRATORS, LLC","HMO",0.649,"$804.37 ","$114.58 ",2016-06-30,804.37,114.58,807,"H0332_807"
"42","H0332",810,"KS PLAN ADMINISTRATORS, LLC","HMO",1.126,"$820.96 ","$111.92 ",2016-06-30,820.96,111.92,810,"H0332_810"
"43","H0332",811,"KS PLAN ADMINISTRATORS, LLC","HMO",0.928,"$805.96 ","$114.66 ",2016-06-30,805.96,114.66,811,"H0332_811"
"44","H0351",29,"HEALTH NET OF ARIZONA, INC.","HMO",1.406,"$703.81 ","$56.22 ",2016-06-30,703.81,56.22,29,"H0351_29"
"45","H0351",30,"HEALTH NET OF ARIZONA, INC.","HMO",0.76,"$680.89 ","$58.60 ",2016-06-30,680.89,58.6,30,"H0351_30"
"46","H0351",38,"HEALTH NET OF ARIZONA, INC.","HMO",1.631,"$596.02 ","$181.21 ",2016-06-30,596.02,181.21,38,"H0351_38"
"47","H0351",40,"HEALTH NET OF ARIZONA, INC.","HMO",1.012,"$571.58 ","$118.03 ",2016-06-30,571.58,118.03,40,"H0351_40"
"48","H0351",41,"HEALTH NET OF ARIZONA, INC.","HMO",1.045,"$582.95 ","$115.69 ",2016-06-30,582.95,115.69,41,"H0351_41"
"49","H0351",42,"HEALTH NET OF ARIZONA, INC.","HMO",1.701,"$605.74 ","$177.04 ",2016-06-30,605.74,177.04,42,"H0351_42"
"50","H0351",43,"HEALTH NET OF ARIZONA, INC.","HMO",1.22,"$637.25 ","$104.08 ",2016-06-30,637.25,104.08,43,"H0351_43"
"51","H0351",44,"HEALTH NET OF ARIZONA, INC.","HMO",0.962,"$637.39 ","$72.40 ",2016-06-30,637.39,72.4,44,"H0351_44"
"52","H0351",801,"HEALTH NET OF ARIZONA, INC.","HMO",1.215,"$640.86 ","$107.61 ",2016-06-30,640.86,107.61,801,"H0351_801"
"53","H0354",1,"CIGNA HEALTHCARE OF ARIZONA, INC.","HMO",1.046,"$652.86 ","$111.23 ",2016-06-30,652.86,111.23,1,"H0354_1"
"54","H0354",23,"CIGNA HEALTHCARE OF ARIZONA, INC.","HMO",1.204,"$681.49 ","$114.34 ",2016-06-30,681.49,114.34,23,"H0354_23"
"55","H0354",24,"CIGNA HEALTHCARE OF ARIZONA, INC.","HMO",0.843,"$653.20 ","$108.06 ",2016-06-30,653.2,108.06,24,"H0354_24"
"56","H0354",26,"CIGNA HEALTHCARE OF ARIZONA, INC.","HMO",0.739,"$701.86 ","$91.96 ",2016-06-30,701.86,91.96,26,"H0354_26"
"57","H0354",27,"CIGNA HEALTHCARE OF ARIZONA, INC.","HMO",1.553,"$640.81 ","$184.42 ",2016-06-30,640.81,184.42,27,"H0354_27"
"58","H0354",804,"CIGNA HEALTHCARE OF ARIZONA, INC.","HMO",1.284,"$709.12 ","$86.46 ",2016-06-30,709.12,86.46,804,"H0354_804"
"59","H0354",805,"CIGNA HEALTHCARE OF ARIZONA, INC.","HMO",0.95,"$705.71 ","$77.40 ",2016-06-30,705.71,77.4,805,"H0354_805"
"60","H0408",3,"UNITEDHEALTHCARE INSURANCE COMPANY","HMO",1.168,"$707.82 ","$69.85 ",2016-06-30,707.82,69.85,3,"H0408_3"
"61","H0423",1,"METROPLUS HEALTH PLAN, INC.","HMO",1.046,"$841.38 ","$23.23 ",2016-06-30,841.38,23.23,1,"H0423_1"
"62","H0423",4,"METROPLUS HEALTH PLAN, INC.","HMO",0.908,"$856.54 ","$0.00 ",2016-06-30,856.54,0,4,"H0423_4"
"63","H0435",1,"GLOBALHEALTH, INC.","HMO",0.69,"$652.13 ","$63.56 ",2016-06-30,652.13,63.56,1,"H0435_1"
"64","H0435",2,"GLOBALHEALTH, INC.","HMO",1.133,"$660.39 ","$86.87 ",2016-06-30,660.39,86.87,2,"H0435_2"
"65","H0435",3,"GLOBALHEALTH, INC.","HMO",1.094,"$634.88 ","$86.13 ",2016-06-30,634.88,86.13,3,"H0435_3"
"66","H0435",4,"GLOBALHEALTH, INC.","HMO",1.051,"$641.43 ","$101.93 ",2016-06-30,641.43,101.93,4,"H0435_4"
"67","H0435",5,"GLOBALHEALTH, INC.","HMO",0.881,"$650.71 ","$81.02 ",2016-06-30,650.71,81.02,5,"H0435_5"
"68","H0439",1,"CIGNA HEALTHCARE OF GEORGIA, INC.","HMO",0.937,"$634.53 ","$94.60 ",2016-06-30,634.53,94.6,1,"H0439_1"
"69","H0439",2,"CIGNA HEALTHCARE OF GEORGIA, INC.","HMO",1.405,"$713.24 ","$71.35 ",2016-06-30,713.24,71.35,2,"H0439_2"
"70","H0439",801,"CIGNA HEALTHCARE OF GEORGIA, INC.","HMO",1.034,"$597.50 ","$113.55 ",2016-06-30,597.5,113.55,801,"H0439_801"
"71","H0490",4,"MOLINA HEALTHCARE OF OHIO, INC.","HMO",1.269,"$749.00 ","$54.20 ",2016-06-30,749,54.2,4,"H0490_4"
"72","H0504",15,"CALIFORNIA PHYSICIANS' SERVICE","HMO",1.077,"$655.30 ","$183.12 ",2016-06-30,655.3,183.12,15,"H0504_15"
"73","H0504",17,"CALIFORNIA PHYSICIANS' SERVICE","HMO",1.085,"$610.38 ","$155.88 ",2016-06-30,610.38,155.88,17,"H0504_17"
"74","H0504",21,"CALIFORNIA PHYSICIANS' SERVICE","HMO",1.014,"$603.20 ","$192.51 ",2016-06-30,603.2,192.51,21,"H0504_21"
"75","H0504",26,"CALIFORNIA PHYSICIANS' SERVICE","HMO",1.02,"$635.67 ","$141.14 ",2016-06-30,635.67,141.14,26,"H0504_26"
"76","H0504",27,"CALIFORNIA PHYSICIANS' SERVICE","HMO",0.908,"$659.78 ","$113.69 ",2016-06-30,659.78,113.69,27,"H0504_27"
"77","H0504",28,"CALIFORNIA PHYSICIANS' SERVICE","HMO",0.88,"$646.75 ","$108.99 ",2016-06-30,646.75,108.99,28,"H0504_28"
"78","H0504",29,"CALIFORNIA PHYSICIANS' SERVICE","HMO",0.871,"$654.54 ","$111.22 ",2016-06-30,654.54,111.22,29,"H0504_29"
"79","H0504",30,"CALIFORNIA PHYSICIANS' SERVICE","HMO",0.842,"$732.13 ","$99.34 ",2016-06-30,732.13,99.34,30,"H0504_30"
"80","H0504",31,"CALIFORNIA PHYSICIANS' SERVICE","HMO",0.927,"$675.03 ","$92.54 ",2016-06-30,675.03,92.54,31,"H0504_31"
"81","H0504",32,"CALIFORNIA PHYSICIANS' SERVICE","HMO",0.788,"$684.05 ","$93.22 ",2016-06-30,684.05,93.22,32,"H0504_32"
"82","H0504",803,"CALIFORNIA PHYSICIANS' SERVICE","HMO",0.915,"$749.54 ","$62.16 ",2016-06-30,749.54,62.16,803,"H0504_803"
"83","H0504",804,"CALIFORNIA PHYSICIANS' SERVICE","HMO",1.075,"$727.80 ","$100.85 ",2016-06-30,727.8,100.85,804,"H0504_804"
"84","H0523",2,"AETNA HEALTH OF CALIFORNIA INC.","HMO",1.278,"$666.29 ","$141.29 ",2016-06-30,666.29,141.29,2,"H0523_2"
"85","H0523",22,"AETNA HEALTH OF CALIFORNIA INC.","HMO",1.502,"$611.27 ","$172.40 ",2016-06-30,611.27,172.4,22,"H0523_22"
"86","H0523",31,"AETNA HEALTH OF CALIFORNIA INC.","HMO",1.19,"$598.35 ","$147.05 ",2016-06-30,598.35,147.05,31,"H0523_31"
"87","H0523",52,"AETNA HEALTH OF CALIFORNIA INC.","HMO",1.122,"$676.08 ","$85.54 ",2016-06-30,676.08,85.54,52,"H0523_52"
"88","H0523",60,"AETNA HEALTH OF CALIFORNIA INC.","HMO",1.059,"$594.44 ","$161.44 ",2016-06-30,594.44,161.44,60,"H0523_60"
"89","H0523",61,"AETNA HEALTH OF CALIFORNIA INC.","HMO",1.047,"$637.46 ","$172.94 ",2016-06-30,637.46,172.94,61,"H0523_61"
"90","H0523",63,"AETNA HEALTH OF CALIFORNIA INC.","HMO",1.152,"$574.18 ","$192.31 ",2016-06-30,574.18,192.31,63,"H0523_63"
"91","H0523",801,"AETNA HEALTH OF CALIFORNIA INC.","HMO",1.113,"$734.48 ","$69.13 ",2016-06-30,734.48,69.13,801,"H0523_801"
"92","H0523",805,"AETNA HEALTH OF CALIFORNIA INC.","HMO",1.138,"$772.38 ","$51.94 ",2016-06-30,772.38,51.94,805,"H0523_805"
"93","H0524",2,"KAISER FOUNDATION HP, INC.","HMO",1.674,"$397.71 ","$77.55 ",2016-06-30,397.71,77.55,2,"H0524_2"
"94","H0524",3,"KAISER FOUNDATION HP, INC.","HMO",0.946,"$729.04 ","$118.85 ",2016-06-30,729.04,118.85,3,"H0524_3"
"95","H0524",8,"KAISER FOUNDATION HP, INC.","HMO",1.028,"$786.19 ","$51.74 ",2016-06-30,786.19,51.74,8,"H0524_8"
"96","H0524",10,"KAISER FOUNDATION HP, INC.","HMO",1.277,"$378.39 ","$66.28 ",2016-06-30,378.39,66.28,10,"H0524_10"
"97","H0524",13,"KAISER FOUNDATION HP, INC.","HMO",1.012,"$763.05 ","$66.56 ",2016-06-30,763.05,66.56,13,"H0524_13"
"98","H0524",15,"KAISER FOUNDATION HP, INC.","HMO",0.951,"$697.48 ","$93.82 ",2016-06-30,697.48,93.82,15,"H0524_15"
"99","H0524",29,"KAISER FOUNDATION HP, INC.","HMO",1.305,"$868.25 ","$21.62 ",2016-06-30,868.25,21.62,29,"H0524_29"
"100","H0524",30,"KAISER FOUNDATION HP, INC.","HMO",1.342,"$815.19 ","$48.79 ",2016-06-30,815.19,48.79,30,"H0524_30"
"101","H0524",31,"KAISER FOUNDATION HP, INC.","HMO",0.92,"$818.13 ","$34.76 ",2016-06-30,818.13,34.76,31,"H0524_31"
"102","H0524",32,"KAISER FOUNDATION HP, INC.","HMO",0.935,"$787.83 ","$60.78 ",2016-06-30,787.83,60.78,32,"H0524_32"
"103","H0524",33,"KAISER FOUNDATION HP, INC.","HMO",0.97,"$822.25 ","$55.58 ",2016-06-30,822.25,55.58,33,"H0524_33"
"104","H0524",34,"KAISER FOUNDATION HP, INC.","HMO",0.961,"$677.30 ","$123.40 ",2016-06-30,677.3,123.4,34,"H0524_34"
"105","H0524",35,"KAISER FOUNDATION HP, INC.","HMO",1.059,"$661.09 ","$132.18 ",2016-06-30,661.09,132.18,35,"H0524_35"
"106","H0524",36,"KAISER FOUNDATION HP, INC.","HMO",0.793,"$658.82 ","$97.20 ",2016-06-30,658.82,97.2,36,"H0524_36"
"107","H0524",37,"KAISER FOUNDATION HP, INC.","HMO",0.938,"$682.26 ","$110.29 ",2016-06-30,682.26,110.29,37,"H0524_37"
"108","H0524",38,"KAISER FOUNDATION HP, INC.","HMO",1.122,"$736.42 ","$87.18 ",2016-06-30,736.42,87.18,38,"H0524_38"
"109","H0524",39,"KAISER FOUNDATION HP, INC.","HMO",0.978,"$777.41 ","$59.86 ",2016-06-30,777.41,59.86,39,"H0524_39"
"110","H0524",40,"KAISER FOUNDATION HP, INC.","HMO",1.083,"$762.44 ","$91.39 ",2016-06-30,762.44,91.39,40,"H0524_40"
"111","H0524",41,"KAISER FOUNDATION HP, INC.","HMO",0.798,"$714.70 ","$91.76 ",2016-06-30,714.7,91.76,41,"H0524_41"
"112","H0524",42,"KAISER FOUNDATION HP, INC.","HMO",1.131,"$724.53 ","$91.42 ",2016-06-30,724.53,91.42,42,"H0524_42"
"113","H0524",43,"KAISER FOUNDATION HP, INC.","HMO",0.889,"$680.01 ","$97.65 ",2016-06-30,680.01,97.65,43,"H0524_43"
"114","H0524",46,"KAISER FOUNDATION HP, INC.","HMO",0.823,"$690.54 ","$87.70 ",2016-06-30,690.54,87.7,46,"H0524_46"
"115","H0524",51,"KAISER FOUNDATION HP, INC.","HMO",0.795,"$698.11 ","$93.18 ",2016-06-30,698.11,93.18,51,"H0524_51"
"116","H0524",801,"KAISER FOUNDATION HP, INC.","HMO",1.179,"$674.67 ","$180.44 ",2016-06-30,674.67,180.44,801,"H0524_801"
"117","H0524",802,"KAISER FOUNDATION HP, INC.","HMO",1.05,"$880.82 ","$0.00 ",2016-06-30,880.82,0,802,"H0524_802"
"118","H0524",805,"KAISER FOUNDATION HP, INC.","HMO",0.996,"$740.92 ","$100.73 ",2016-06-30,740.92,100.73,805,"H0524_805"
"119","H0524",806,"KAISER FOUNDATION HP, INC.","HMO",0.995,"$787.33 ","$57.37 ",2016-06-30,787.33,57.37,806,"H0524_806"
"120","H0524",807,"KAISER FOUNDATION HP, INC.","HMO",0.882,"$428.73 ","$38.96 ",2016-06-30,428.73,38.96,807,"H0524_807"
"121","H0524",808,"KAISER FOUNDATION HP, INC.","HMO",0.837,"$465.90 ","$0.00 ",2016-06-30,465.9,0,808,"H0524_808"
"122","H0524",809,"KAISER FOUNDATION HP, INC.","HMO",1.107,"$748.22 ","$99.60 ",2016-06-30,748.22,99.6,809,"H0524_809"
"123","H0524",810,"KAISER FOUNDATION HP, INC.","HMO",1.181,"$773.85 ","$80.12 ",2016-06-30,773.85,80.12,810,"H0524_810"
"124","H0524",811,"KAISER FOUNDATION HP, INC.","HMO",1.462,"$421.52 ","$63.08 ",2016-06-30,421.52,63.08,811,"H0524_811"
"125","H0524",812,"KAISER FOUNDATION HP, INC.","HMO",1.568,"$459.64 ","$14.75 ",2016-06-30,459.64,14.75,812,"H0524_812"
"126","H0543",1,"UHC OF CALIFORNIA","HMO",1.243,"$730.28 ","$162.44 ",2016-06-30,730.28,162.44,1,"H0543_1"
"127","H0543",4,"UHC OF CALIFORNIA","HMO",1.442,"$690.96 ","$167.41 ",2016-06-30,690.96,167.41,4,"H0543_4"
"128","H0543",7,"UHC OF CALIFORNIA","HMO",1.385,"$686.89 ","$136.39 ",2016-06-30,686.89,136.39,7,"H0543_7"
"129","H0543",13,"UHC OF CALIFORNIA","HMO",1.225,"$743.11 ","$87.15 ",2016-06-30,743.11,87.15,13,"H0543_13"
"130","H0543",19,"UHC OF CALIFORNIA","HMO",1.201,"$666.83 ","$142.14 ",2016-06-30,666.83,142.14,19,"H0543_19"
"131","H0543",22,"UHC OF CALIFORNIA","HMO",1.149,"$762.65 ","$75.25 ",2016-06-30,762.65,75.25,22,"H0543_22"
"132","H0543",28,"UHC OF CALIFORNIA","HMO",1.072,"$821.26 ","$21.21 ",2016-06-30,821.26,21.21,28,"H0543_28"
"133","H0543",29,"UHC OF CALIFORNIA","HMO",1.082,"$863.06 ","$3.39 ",2016-06-30,863.06,3.39,29,"H0543_29"
"134","H0543",32,"UHC OF CALIFORNIA","HMO",1.045,"$728.66 ","$64.73 ",2016-06-30,728.66,64.73,32,"H0543_32"
"135","H0543",35,"UHC OF CALIFORNIA","HMO",1.012,"$849.29 ","$0.00 ",2016-06-30,849.29,0,35,"H0543_35"
"136","H0543",36,"UHC OF CALIFORNIA","HMO",1.192,"$816.51 ","$54.39 ",2016-06-30,816.51,54.39,36,"H0543_36"
"137","H0543",60,"UHC OF CALIFORNIA","HMO",1.372,"$767.66 ","$76.12 ",2016-06-30,767.66,76.12,60,"H0543_60"
"138","H0543",70,"UHC OF CALIFORNIA","HMO",1.08,"$897.86 ","$0.00 ",2016-06-30,897.86,0,70,"H0543_70"
"139","H0543",86,"UHC OF CALIFORNIA","HMO",0.845,"$829.36 ","$0.00 ",2016-06-30,829.36,0,86,"H0543_86"
"140","H0543",89,"UHC OF CALIFORNIA","HMO",1.268,"$801.18 ","$47.89 ",2016-06-30,801.18,47.89,89,"H0543_89"
"141","H0543",121,"UHC OF CALIFORNIA","HMO",0.949,"$685.72 ","$111.27 ",2016-06-30,685.72,111.27,121,"H0543_121"
"142","H0543",138,"UHC OF CALIFORNIA","HMO",1.064,"$634.57 ","$163.86 ",2016-06-30,634.57,163.86,138,"H0543_138"
"143","H0543",140,"UHC OF CALIFORNIA","HMO",0.917,"$814.80 ","$16.43 ",2016-06-30,814.8,16.43,140,"H0543_140"
"144","H0543",144,"UHC OF CALIFORNIA","HMO",1.24,"$640.48 ","$157.77 ",2016-06-30,640.48,157.77,144,"H0543_144"
"145","H0543",145,"UHC OF CALIFORNIA","HMO",0.938,"$696.42 ","$93.75 ",2016-06-30,696.42,93.75,145,"H0543_145"
"146","H0543",146,"UHC OF CALIFORNIA","HMO",0.951,"$782.27 ","$48.22 ",2016-06-30,782.27,48.22,146,"H0543_146"
"147","H0543",147,"UHC OF CALIFORNIA","HMO",0.854,"$764.27 ","$69.69 ",2016-06-30,764.27,69.69,147,"H0543_147"
"148","H0543",148,"UHC OF CALIFORNIA","HMO",0.846,"$771.21 ","$51.37 ",2016-06-30,771.21,51.37,148,"H0543_148"
"149","H0543",151,"UHC OF CALIFORNIA","HMO",0.977,"$693.40 ","$157.10 ",2016-06-30,693.4,157.1,151,"H0543_151"
"150","H0543",152,"UHC OF CALIFORNIA","HMO",0.887,"$722.90 ","$71.76 ",2016-06-30,722.9,71.76,152,"H0543_152"
"151","H0543",153,"UHC OF CALIFORNIA","HMO",1.378,"$845.39 ","$36.57 ",2016-06-30,845.39,36.57,153,"H0543_153"
"152","H0543",802,"UHC OF CALIFORNIA","HMO",1.175,"$706.37 ","$125.67 ",2016-06-30,706.37,125.67,802,"H0543_802"
"153","H0543",805,"UHC OF CALIFORNIA","HMO",1.125,"$792.97 ","$59.69 ",2016-06-30,792.97,59.69,805,"H0543_805"
"154","H0543",806,"UHC OF CALIFORNIA","HMO",1.092,"$746.99 ","$108.36 ",2016-06-30,746.99,108.36,806,"H0543_806"
"155","H0544",2,"CAREMORE HEALTH PLAN","HMO",1.109,"$650.70 ","$199.07 ",2016-06-30,650.7,199.07,2,"H0544_2"
"156","H0544",3,"CAREMORE HEALTH PLAN","HMO",1.194,"$755.15 ","$150.89 ",2016-06-30,755.15,150.89,3,"H0544_3"
"157","H0544",4,"CAREMORE HEALTH PLAN","HMO",1.731,"$622.67 ","$357.51 ",2016-06-30,622.67,357.51,4,"H0544_4"
"158","H0544",5,"CAREMORE HEALTH PLAN","HMO",2.654,"$687.31 ","$365.34 ",2016-06-30,687.31,365.34,5,"H0544_5"
"159","H0544",7,"CAREMORE HEALTH PLAN","HMO",0.628,"$573.18 ","$146.43 ",2016-06-30,573.18,146.43,7,"H0544_7"
"160","H0544",8,"CAREMORE HEALTH PLAN","HMO",0.995,"$610.29 ","$152.53 ",2016-06-30,610.29,152.53,8,"H0544_8"
"161","H0544",10,"CAREMORE HEALTH PLAN","HMO",1.719,"$594.40 ","$292.21 ",2016-06-30,594.4,292.21,10,"H0544_10"
"162","H0544",12,"CAREMORE HEALTH PLAN","HMO",1.125,"$712.64 ","$120.17 ",2016-06-30,712.64,120.17,12,"H0544_12"
"163","H0544",13,"CAREMORE HEALTH PLAN","HMO",2.02,"$659.87 ","$351.21 ",2016-06-30,659.87,351.21,13,"H0544_13"
"164","H0544",14,"CAREMORE HEALTH PLAN","HMO",2.039,"$648.41 ","$372.22 ",2016-06-30,648.41,372.22,14,"H0544_14"
"165","H0544",19,"CAREMORE HEALTH PLAN","HMO",1.94,"$605.58 ","$304.41 ",2016-06-30,605.58,304.41,19,"H0544_19"
"166","H0544",21,"CAREMORE HEALTH PLAN","HMO",0.737,"$669.11 ","$107.00 ",2016-06-30,669.11,107,21,"H0544_21"
"167","H0544",24,"CAREMORE HEALTH PLAN","HMO",1.597,"$678.74 ","$232.20 ",2016-06-30,678.74,232.2,24,"H0544_24"
"168","H0544",25,"CAREMORE HEALTH PLAN","HMO",1.59,"$677.04 ","$213.52 ",2016-06-30,677.04,213.52,25,"H0544_25"
"169","H0544",27,"CAREMORE HEALTH PLAN","HMO",0.959,"$692.96 ","$135.54 ",2016-06-30,692.96,135.54,27,"H0544_27"
"170","H0544",31,"CAREMORE HEALTH PLAN","HMO",1.747,"$663.57 ","$274.24 ",2016-06-30,663.57,274.24,31,"H0544_31"
"171","H0544",32,"CAREMORE HEALTH PLAN","HMO",1.58,"$659.02 ","$252.38 ",2016-06-30,659.02,252.38,32,"H0544_32"
"172","H0544",36,"CAREMORE HEALTH PLAN","HMO",1.451,"$671.82 ","$224.85 ",2016-06-30,671.82,224.85,36,"H0544_36"
"173","H0544",37,"CAREMORE HEALTH PLAN","HMO",1.612,"$687.72 ","$185.67 ",2016-06-30,687.72,185.67,37,"H0544_37"
"174","H0544",38,"CAREMORE HEALTH PLAN","HMO",1.886,"$625.60 ","$260.79 ",2016-06-30,625.6,260.79,38,"H0544_38"
"175","H0544",41,"CAREMORE HEALTH PLAN","HMO",1.209,"$735.17 ","$132.33 ",2016-06-30,735.17,132.33,41,"H0544_41"
"176","H0544",49,"CAREMORE HEALTH PLAN","HMO",1.213,"$824.97 ","$59.32 ",2016-06-30,824.97,59.32,49,"H0544_49"
"177","H0544",50,"CAREMORE HEALTH PLAN","HMO",2.174,"$667.74 ","$270.71 ",2016-06-30,667.74,270.71,50,"H0544_50"
"178","H0544",802,"CAREMORE HEALTH PLAN","HMO",0.891,"$797.10 ","$57.77 ",2016-06-30,797.1,57.77,802,"H0544_802"
"179","H0545",1,"INTER VALLEY HEALTH PLAN, INC.","HMO",1.173,"$632.11 ","$197.46 ",2016-06-30,632.11,197.46,1,"H0545_1"
